"Species","Family","Order","Wing_length","Mass","Habitat","Trophic_level","Trophic_niche","HWI","Raw_CRB","Raw_certainty","CRB","Certainty","CRB_Final","brain_volume_mm3","brain.mass.g","brain_mass_calculated"
"Accipiter_gentilis","Accipitridae","Accipitriformes",337.6,866,"","Carnivore","Vertivore",36.3,0,1,0,1,"0",7407.14,8.16368,8.18
"Accipiter_griseiceps","Accipitridae","Accipitriformes",187.2,251.8,"","Carnivore","Vertivore",26.8,0,0,0,0,NA,NA,NA,NA
"Accipiter_gularis","Accipitridae","Accipitriformes",162.6,120.7,"","Carnivore","Vertivore",33.2,0,0,0,0,NA,NA,NA,NA
"Accipiter_gundlachi","Accipitridae","Accipitriformes",228,675,"","Carnivore","Vertivore",27.1,0,0,0,0,NA,NA,NA,NA
"Accipiter_haplochrous","Accipitridae","Accipitriformes",227.8,198.4,"","Carnivore","Vertivore",32.7,0,0,0,0,NA,NA,NA,NA
"Accipiter_henicogrammus","Accipitridae","Accipitriformes",230.2,358.7,"","Carnivore","Vertivore",31.1,0,0,0,0,NA,NA,NA,NA
"Accipiter_henstii","Accipitridae","Accipitriformes",290.5,1050,"","Carnivore","Vertivore",27,0,0,0,0,NA,NA,NA,NA
"Accipiter_hiogaster","Accipitridae","Accipitriformes",197.2,326.1,"","Carnivore","Vertivore",30.8,0,0,0,0,NA,NA,NA,NA
"Accipiter_imitator","Accipitridae","Accipitriformes",200,222.5,"","Carnivore","Vertivore",30,0,0,0,0,NA,NA,NA,NA
"Accipiter_luteoschistaceus","Accipitridae","Accipitriformes",188,214,"","Carnivore","Vertivore",30.3,0,0,0,0,NA,NA,NA,NA
"Accipiter_madagascariensis","Accipitridae","Accipitriformes",190.8,180.4,"","Carnivore","Vertivore",28.7,0,0,0,0,NA,NA,NA,NA
"Accipiter_melanochlamys","Accipitridae","Accipitriformes",228.6,265,"","Carnivore","Vertivore",32.4,0,0,0,0,NA,NA,NA,NA
"Accipiter_melanoleucus","Accipitridae","Accipitriformes",302.8,699,"","Carnivore","Vertivore",35,0,0,0,0,NA,NA,NA,NA
"Accipiter_meyerianus","Accipitridae","Accipitriformes",309.5,763.5,"","Carnivore","Vertivore",33,0,0,0,0,NA,NA,NA,NA
"Accipiter_minullus","Accipitridae","Accipitriformes",150.4,87.4,"","Carnivore","Vertivore",29.6,0,0,0,0,NA,NA,NA,NA
"Accipiter_nanus","Accipitridae","Accipitriformes",152.4,117,"","Carnivore","Invertivore",29.5,0,0,0,0,NA,NA,NA,NA
"Accipiter_nisus","Accipitridae","Accipitriformes",207.4,220.8,"","Carnivore","Vertivore",35.5,0,1,0,1,"0",2974.2,NA,3.29
"Accipiter_novaehollandiae","Accipitridae","Accipitriformes",261.9,326.1,"","Carnivore","Vertivore",28.9,0,0,0,0,NA,4740,4.91064,5.24
"Accipiter_ovampensis","Accipitridae","Accipitriformes",222.4,195,"","Carnivore","Vertivore",38.4,0,0,0,0,NA,NA,NA,NA
"Accipiter_poliocephalus","Accipitridae","Accipitriformes",210.5,214.8,"","Carnivore","Vertivore",32.1,0,0,0,0,NA,NA,NA,NA
"Accipiter_poliogaster","Accipitridae","Accipitriformes",240.4,315,"","Carnivore","Vertivore",29.6,0,0,0,0,NA,NA,NA,NA
"Accipiter_princeps","Accipitridae","Accipitriformes",266.3,214.8,"","Carnivore","Vertivore",29.2,0,0,0,0,NA,NA,NA,NA
"Accipiter_rhodogaster","Accipitridae","Accipitriformes",172.6,172.7,"","Carnivore","Vertivore",29.7,0,0,0,0,NA,NA,NA,NA
"Accipiter_rufitorques","Accipitridae","Accipitriformes",217.6,209,"","Carnivore","Vertivore",34.1,0,0,0,0,NA,NA,NA,NA
"Accipiter_rufiventris","Accipitridae","Accipitriformes",218.6,198,"","Carnivore","Vertivore",38.1,0,0,0,0,NA,NA,NA,NA
"Accipiter_soloensis","Accipitridae","Accipitriformes",187.8,164.8,"","Carnivore","Vertivore",39,1,1,1,1,"1",NA,NA,NA
"Accipiter_striatus","Accipitridae","Accipitriformes",181.6,130.6,"","Carnivore","Vertivore",30.7,0,1,0,1,"0",4179.3,2.31028,4.62
"Accipiter_superciliosus","Accipitridae","Accipitriformes",146.4,96.4,"","Carnivore","Vertivore",26.9,0,0,0,0,NA,NA,NA,NA
"Accipiter_sylvestris","Accipitridae","Accipitriformes",206.4,326.1,"","Carnivore","Vertivore",32,0,0,0,0,NA,NA,NA,NA
"Accipiter_tachiro","Accipitridae","Accipitriformes",217.4,290.2,"","Carnivore","Vertivore",25.7,0,0,0,0,NA,NA,NA,NA
"Accipiter_toussenelii","Accipitridae","Accipitriformes",189,249.3,"","Carnivore","Vertivore",24.4,0,0,0,0,NA,NA,NA,NA
"Accipiter_trinotatus","Accipitridae","Accipitriformes",162.9,146,"","Carnivore","Vertivore",27.2,0,0,0,0,NA,NA,NA,NA
"Accipiter_trivirgatus","Accipitridae","Accipitriformes",216.2,265,"","Carnivore","Vertivore",23,0,0,0,0,NA,NA,NA,NA
"Accipiter_virgatus","Accipitridae","Accipitriformes",167.7,117,"","Carnivore","Vertivore",27.4,0,0,0,0,NA,NA,NA,NA
"Acridotheres_albocinctus","Sturnidae","Passeriformes",125.8,98.9,"Grassland","Omnivore","Omnivore",25.3,NA,NA,0,0,NA,NA,NA,NA
"Acridotheres_burmannicus","Sturnidae","Passeriformes",113.8,89,"Grassland","Omnivore","Omnivore",26.9,NA,NA,0,0,NA,NA,NA,NA
"Acridotheres_cinereus","Sturnidae","Passeriformes",125.9,98.9,"Grassland","Omnivore","Omnivore",23.5,NA,NA,0,0,NA,NA,NA,NA
"Acridotheres_cristatellus","Sturnidae","Passeriformes",134,116.3,"Grassland","Omnivore","Omnivore",24.1,1,1,1,1,"1",NA,NA,NA
"Acridotheres_fuscus","Sturnidae","Passeriformes",123.6,82.8,"Woodland","Omnivore","Omnivore",24.7,NA,NA,0,0,NA,NA,NA,NA
"Acridotheres_ginginianus","Sturnidae","Passeriformes",120.2,72,"Grassland","Omnivore","Omnivore",24.3,1,1,1,1,"1",NA,NA,NA
"Acridotheres_grandis","Sturnidae","Passeriformes",134.6,98.9,"Grassland","Omnivore","Invertivore",24.9,1,1,1,1,"1",NA,NA,NA
"Acridotheres_javanicus","Sturnidae","Passeriformes",122.6,93.5,"Grassland","Omnivore","Invertivore",21.3,1,1,1,1,"1",NA,NA,NA
"Acridotheres_leucocephalus","Sturnidae","Passeriformes",113.8,89,"Grassland","Omnivore","Omnivore",26.9,NA,NA,0,0,NA,NA,NA,NA
