Species,Family,Order,Wing_length,Mass,Habitat,Trophic_level,Trophic_niche,HWI,Raw_CRB,Raw_certainty,CRB,Certainty,CRB_Final,brain_volume_mm3
Agriornis_micropterus,Tyrannidae,Passeriformes,118.9,67.8,Shrubland,Carnivore,Vertivore,24.5,,,0,0,NA,
Agriornis_montanus,Tyrannidae,Passeriformes,131.3,63.3,Shrubland,Carnivore,Omnivore,25.1,,,0,0,NA,
Agriornis_murinus,Tyrannidae,Passeriformes,97,29.9,Shrubland,Carnivore,Vertivore,24,,,0,0,NA,
Agropsar_philippensis,Sturnidae,Passeriformes,105.2,28.8,Woodland,Omnivore,Omnivore,37.3,,,0,0,NA,
Agropsar_sturninus,Sturnidae,Passeriformes,105.6,49.4,Forest,Omnivore,Invertivore,37.9,1,1,1,1,1,
Ailuroedus_buccoides,Ptilonorhynchidae,Passeriformes,129.6,138,Forest,Omnivore,Omnivore,20,,,0,0,NA,
Ailuroedus_crassirostris,Ptilonorhynchidae,Passeriformes,155.8,205.3,Forest,Herbivore,Omnivore,19.4,,,0,0,NA,"1,258.93"
Ailuroedus_melanotis,Ptilonorhynchidae,Passeriformes,157.8,176.9,Forest,Herbivore,Frugivore,20.5,,,0,0,NA,
Aimophila_notosticta,Passerellidae,Passeriformes,67.1,27.1,Shrubland,Herbivore,Omnivore,8.3,,,0,0,NA,
Aimophila_rufescens,Passerellidae,Passeriformes,73.6,34.3,Shrubland,Herbivore,Omnivore,9.1,,,0,0,NA,
Aimophila_ruficeps,Passerellidae,Passeriformes,59.9,18.7,Shrubland,Herbivore,Granivore,12.8,1,1,1,1,1,
Akletos_goeldii,Thamnophilidae,Passeriformes,87.4,42,Forest,Carnivore,Invertivore,11.2,,,0,0,NA,
Akletos_goeldii,Thamnophilidae,Passeriformes,87.4,42,Forest,Carnivore,Invertivore,11.2,,,0,0,NA,
Akletos_melanoceps,Thamnophilidae,Passeriformes,85.8,38.5,Forest,Carnivore,Invertivore,8.1,,,0,0,NA,
Akletos_melanoceps,Thamnophilidae,Passeriformes,85.8,38.5,Forest,Carnivore,Invertivore,8.1,0,0,0,0,NA,
Alcedo_atthis,Alcedinidae,Coraciiformes,73.3,31.1,Riverine,Carnivore,Aquatic predator,26.9,0,0,0,0,NA,877.876
Alcedo_coerulescens,Alcedinidae,Coraciiformes,59.3,34.9,Riverine,Carnivore,Aquatic predator,24.2,0,0,0,0,NA,
Alcedo_euryzona,Alcedinidae,Coraciiformes,85.6,43.1,Riverine,Carnivore,Aquatic predator,21.4,0,0,0,0,NA,
Alcedo_hercules,Alcedinidae,Coraciiformes,96,62.5,Riverine,Carnivore,Aquatic predator,26,0,0,0,0,NA,
Alcedo_meninting,Alcedinidae,Coraciiformes,65,20.4,Riverine,Carnivore,Aquatic predator,25.2,0,0,0,0,NA,
Alcedo_peninsulae,Alcedinidae,Coraciiformes,80.7,43.1,Riverine,Carnivore,Aquatic predator,21.4,0,0,0,0,NA,
Alcedo_quadribrachys,Alcedinidae,Coraciiformes,77.1,34.9,Wetland,Carnivore,Aquatic predator,25.8,0,0,0,0,NA,
Alcedo_semitorquata,Alcedinidae,Coraciiformes,80.6,47.3,Wetland,Carnivore,Aquatic predator,24.7,0,0,0,0,NA,
Alcippe_brunneicauda__,Leiotrichidae,Passeriformes,71.7,14.3,Forest,Carnivore,Invertivore,14.8,,,0,0,NA,
Alcippe_grotei__,Leiotrichidae,Passeriformes,66.1,14.3,Forest,Carnivore,Invertivore,10.9,,,0,0,NA,
Alcippe_morrisonia__,Leiotrichidae,Passeriformes,60.9,15.3,Forest,Omnivore,Invertivore,13.2,,,0,0,NA,
Alcippe_nipalensis__,Leiotrichidae,Passeriformes,56,15.8,Forest,Omnivore,Invertivore,9.2,,,0,0,NA,
Alcippe_peracensis__,Leiotrichidae,Passeriformes,63.6,14.3,Forest,Carnivore,Invertivore,12.6,,,0,0,NA,
Alcippe_poioicephala__,Leiotrichidae,Passeriformes,69.5,20.7,Forest,Carnivore,Invertivore,10.9,,,0,0,NA,
Alcippe_pyrrhoptera__,Leiotrichidae,Passeriformes,62.2,16.3,Forest,Carnivore,Invertivore,12.4,,,0,0,NA,
Alcurus_striatus,Pycnonotidae,Passeriformes,104.6,52,Forest,Omnivore,Omnivore,22.3,,,0,0,NA,
Aleadryas_rufinucha,Oreoicidae,Passeriformes,84.8,40.5,Forest,Carnivore,Invertivore,14.7,,,0,0,NA,
Alectrurus_risora,Tyrannidae,Passeriformes,73,21,Grassland,Carnivore,Invertivore,22.3,,,0,0,NA,
Alectrurus_tricolor,Tyrannidae,Passeriformes,67.6,16,Grassland,Carnivore,Invertivore,22.3,,,0,0,NA,
Alethe_castanea__,Muscicapidae,Passeriformes,91,31.5,Forest,Carnivore,Invertivore,16.9,,,0,0,NA,
Alethe_diademata__,Muscicapidae,Passeriformes,89.8,31.5,Forest,Carnivore,Invertivore,16.4,,,0,0,NA,
Alexandrinus_eques,Psittacidae,Psittaciformes,177.8,163,Forest,Herbivore,Frugivore,41.2,0,0,0,0,NA,
Alexandrinus_krameri,Psittacidae,Psittaciformes,155.8,116.1,Forest,Herbivore,Omnivore,47.7,1,1,1,1,1,"4,239.18"
Alipiopsitta_xanthops,Psittacidae,Psittaciformes,193.2,159,Forest,Herbivore,Frugivore,26.7,1,1,1,1,1,
Alisterus_amboinensis,Psittacidae,Psittaciformes,204.8,153,Forest,Herbivore,Frugivore,39.7,0,1,0,1,0,
Alisterus_chloropterus,Psittacidae,Psittaciformes,183.8,156,Forest,Herbivore,Frugivore,40.5,0,1,0,1,0,
Alisterus_scapularis,Psittacidae,Psittaciformes,210.2,232.3,Forest,Herbivore,Frugivore,46.8,1,1,1,1,1,"4,778.50"
Allenia_fusca,Mimidae,Passeriformes,122.8,67.1,Shrubland,Omnivore,Omnivore,23.5,,,0,0,NA,
Alophoixus_bres,Pycnonotidae,Passeriformes,100,35.3,Forest,Omnivore,Omnivore,19.4,,,0,0,NA,
Alophoixus_flaveolus,Pycnonotidae,Passeriformes,100.8,48.3,Forest,Herbivore,Frugivore,16.5,,,0,0,NA,
Alophoixus_frater,Pycnonotidae,Passeriformes,104.6,44.8,Forest,Omnivore,Omnivore,19.4,,,0,0,NA,
Alophoixus_griseiceps,Pycnonotidae,Passeriformes,92,46,Forest,Herbivore,Frugivore,15.2,,,0,0,NA,
Alophoixus_ochraceus,Pycnonotidae,Passeriformes,101.1,41.5,Forest,Herbivore,Frugivore,17.8,,,0,0,NA,
Alophoixus_pallidus,Pycnonotidae,Passeriformes,102.6,46,Forest,Herbivore,Frugivore,15.2,,,0,0,NA,
Alophoixus_phaeocephalus,Pycnonotidae,Passeriformes,94.4,32,Forest,Omnivore,Omnivore,13.8,,,0,0,NA,
Alophoixus_ruficrissus,Pycnonotidae,Passeriformes,101.1,41.5,Forest,Herbivore,Frugivore,17.8,,,0,0,NA,
Alophoixus_tephrogenys,Pycnonotidae,Passeriformes,104.6,35.3,Forest,Omnivore,Omnivore,19.4,,,0,0,NA,
Alopochelidon_fucata,Hirundinidae,Passeriformes,99,14,Grassland,Carnivore,Invertivore,49.9,0,0,0,0,NA,
Amadina_erythrocephala,Estrildidae,Passeriformes,71.8,22.5,Grassland,Omnivore,Granivore,31.4,0,0,0,0,NA,
Amadina_fasciata,Estrildidae,Passeriformes,65.8,18,Grassland,Herbivore,Granivore,27.7,0,0,0,0,NA,
Amalocichla_incerta,Petroicidae,Passeriformes,75.6,32.7,Forest,Carnivore,Invertivore,11.6,,,0,0,NA,
Amalocichla_sclateriana,Petroicidae,Passeriformes,102.4,54.7,Forest,Carnivore,Invertivore,7.9,,,0,0,NA,
Amandava_amandava,Estrildidae,Passeriformes,47.4,9,Shrubland,Herbivore,Granivore,13.5,0,0,0,0,NA,
Amandava_formosa,Estrildidae,Passeriformes,47.7,9,Grassland,Omnivore,Granivore,9.4,0,0,0,0,NA,
Amandava_subflava,Estrildidae,Passeriformes,43.4,7.4,Grassland,Herbivore,Granivore,16,0,0,0,0,NA,
Amaurocichla_bocagii,Motacillidae,Passeriformes,63,7,Forest,Carnivore,Invertivore,11,,,0,0,NA,
Amazona_aestiva,Psittacidae,Psittaciformes,204.2,451,Shrubland,Herbivore,Frugivore,26.5,1,1,1,1,1,"7,902.85"
Amazona_agilis,Psittacidae,Psittaciformes,160,213,Forest,Herbivore,Omnivore,32.5,1,1,1,1,1,
Amazona_albifrons,Psittacidae,Psittaciformes,169.4,206,Woodland,Herbivore,Omnivore,33.7,1,1,1,1,1,
Amazona_amazonica,Psittacidae,Psittaciformes,202.2,370,Forest,Herbivore,Frugivore,28.2,1,1,1,1,1,
Amazona_arausiaca,Psittacidae,Psittaciformes,241.4,500,Forest,Herbivore,Frugivore,31.3,0,0,0,0,NA,
Amazona_auropalliata,Psittacidae,Psittaciformes,205.6,476.9,Woodland,Herbivore,Omnivore,31.8,1,1,1,1,1,
Amazona_autumnalis,Psittacidae,Psittaciformes,201.7,416,Forest,Herbivore,Frugivore,31,1,1,1,1,1,
Amazona_barbadensis,Psittacidae,Psittaciformes,216.1,270,Shrubland,Herbivore,Omnivore,34,1,1,1,1,1,
Amazona_bodini,Psittacidae,Psittaciformes,207.8,430,Forest,Herbivore,Frugivore,30.7,0,0,0,0,NA,
Amazona_brasiliensis,Psittacidae,Psittaciformes,212.3,430,Forest,Herbivore,Omnivore,25,1,1,1,1,1,
Amazona_collaria,Psittacidae,Psittaciformes,178.2,187,Forest,Herbivore,Omnivore,34.2,1,1,1,1,1,
Amazona_diadema,Psittacidae,Psittaciformes,223.5,416,Forest,Herbivore,Frugivore,23,0,0,0,0,NA,
Amazona_dufresniana,Psittacidae,Psittaciformes,203.5,623,Forest,Herbivore,Omnivore,30.4,1,1,1,1,1,
Amazona_farinosa,Psittacidae,Psittaciformes,244.9,626,Forest,Herbivore,Omnivore,27.9,1,1,1,1,1,
